word,normalized_word,source,is_trusted,is_common,is_active,layer,include_in_runtime,include_as_candidate,review_state
অটিজমবিষয়ক,অটিজমবিষয়ক,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটো,অটো,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোমেটিক,অটোমেটিক,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোমোটিভ,অটোমোটিভ,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোরিকশা,অটোরিকশা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোরিকশায়,অটোরিকশায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোগ্রাফওয়ালা,অটোগ্রাফওয়ালা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোগ্রাফ্‌,অটোগ্রাফ্,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোপাওয়ার,অটোপাওয়ার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোবায়োগ্রাফি,অটোবায়োগ্রাফি,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোবায়োগ্রাফিতে,অটোবায়োগ্রাফিতে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোয়া,অটোয়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোয়ায়,অটোয়ায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোয়ার,অটোয়ার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোরিকশাওয়ালাকে,অটোরিকশাওয়ালাকে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটোরিকশায়ও,অটোরিকশায়ও,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অট্টালিকায়,অট্টালিকায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অড়বরই,অড়বরই,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অড়বরইয়ের,অড়বরইয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অড়র,অড়র,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অড়হর,অড়হর,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অড়হরের,অড়হরের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অড়াল,অড়াল,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিওবার্তায়,অডিওবার্তায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিওভিজুয়াল,অডিওভিজুয়াল,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিটরিয়াম,অডিটরিয়াম,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিটরিয়ামই,অডিটরিয়ামই,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিটরিয়ামটা,অডিটরিয়ামটা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিটরিয়ামটাই,অডিটরিয়ামটাই,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অডিটরিয়ামটি,অডিটরিয়ামটি,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
